dist,ran,num,pos,ovr_btn,btn,age,lbs,or,rpr
2,9,2,1,0,0,6,164,127,136
2,9,1,2,0.5,0.5,5,164,0,133
2,9,5,3,13.5,13,6,157,0,113
2,9,6,4,15.5,2,5,157,0,111
2,9,7,5,21.5,6,6,157,0,105
2,9,3,6,23,1.5,5,157,0,104
2,9,8,7,24.25,1.25,5,157,0,102
2,9,9,8,26,1.75,4,148,0,94
2,9,4,9,38,12,5,157,0,89
3,4,3,1,0,0,10,153,157,155
3,4,1,2,2,2,7,161,165,164
3,4,4,3,7,5,8,144,151,143
3,4,2,4,21,14,6,153,157,138
3,6,2,1,0,0,7,164,139,142
3,6,1,2,5,5,8,164,127,133
3,6,3,3,6.75,1.75,8,157,0,123
3,6,5,4,9.25,2.5,7,157,113,121
3,6,4,5,39.25,30,7,157,78,0
3,6,6,6,69.25,30,9,152,0,0
3,5,5,1,0,0,8,161,0,111
3,5,1,2,1,1,8,172,0,117
3,5,4,3,12,11,7,161,0,99
3,5,3,4,15,3,11,169,0,100
3,5,2,5,28,13,13,168,0,90
3,15,2,1,0,0,8,157,146,157
3,15,1,2,0.75,0.75,8,164,153,163
3,15,11,3,2,1.25,10,143,132,141
3,15,15,4,3,1,10,135,129,139
3,15,7,5,13,10,7,146,135,135
3,15,4,6,16.5,3.5,7,154,143,138
3,15,16,7,17,0.5,8,140,129,123
3,15,9,8,20,3,11,145,134,125
3,15,17,9,44,24,10,137,131,98
3,15,10,10,47,3,8,143,132,96
3,15,5,11,47.25,0.3,10,151,140,104
3,15,12,12,53.25,6,12,144,133,91
3,15,14,13,54.25,1,9,138,130,87
3,15,8,,0,0,10,145,134,144
3,15,3,0,0,0,7,156,145,0
25,14,6,1,0,0,5,152,0,140
25,14,3,2,2,2,6,156,0,140
25,14,1,3,23,21,5,161,0,127
25,14,5,4,29,6,7,152,0,109
25,14,2,5,33,4,5,156,0,109
25,14,7,6,58,25,5,152,100,80
25,14,8,7,86,28,6,152,0,52
25,14,13,8,88.5,2.5,6,152,0,50
25,14,9,9,89.25,0.75,6,149,0,49
25,14,11,10,89.75,0.5,6,147,0,48
25,14,14,11,95.75,6,9,147,0,37
25,14,12,0,0,0,8,152,0,0
25,14,10,0,0,0,5,152,0,0
25,14,4,0,0,0,7,152,0,0
2,4,3,1,0,0,8,154,121,148
2,4,2,2,1.25,1.25,10,166,153,160
2,4,1,3,2,0.75,7,166,161,159
2,4,4,4,13,11,13,154,135,138
2,8,3,1,0,0,4,154,0,146
2,8,1,2,3.5,3.5,4,159,0,142
2,8,4,3,13.5,10,4,152,0,125
2,8,5,4,14.75,1.25,4,152,0,124
2,8,2,5,23.75,9,4,159,0,122
2,8,6,6,28.75,5,4,152,0,110
2,8,8,7,28.75,0.1,4,152,0,110
2,8,7,8,30.75,2,4,152,0,108
24,6,1,1,0,0,8,164,147,146
24,6,3,2,0.75,0.75,7,157,0,136
24,6,7,3,8.75,8,6,152,0,124
24,6,2,4,16.75,8,8,161,122,126
24,6,4,5,46.75,30,6,157,120,0
24,6,6,0,0,0,6,152,0,0
25,15,12,1,0,0,6,143,107,122
25,15,6,2,4,4,5,153,117,125
25,15,1,3,5,1,6,168,131,140
25,15,14,4,5,0.1,6,142,106,113
25,15,11,5,10,5,10,145,109,114
25,15,10,6,11.25,1.25,7,140,111,112
25,15,4,7,13.75,2.5,5,156,120,119
25,15,3,8,15,1.25,5,155,121,119
25,15,7,9,15.75,0.75,8,149,116,112
25,15,9,10,17.75,2,5,150,114,108
25,15,13,11,32.75,15,9,142,106,85
25,15,8,12,35.25,2.5,6,151,115,92
25,15,2,13,65.25,30,5,158,121,0
25,15,5,14,68.75,3.5,5,153,117,0
25,15,15,0,0,0,5,142,106,0
