going,ran,num,pos,ovr_btn,btn,age,sex,lbs,time,secs,dec,or,rpr,jockey,trainer
Good,20,6,6,17.25,1.25,5,G,157,04:00.9,240.85,4.5,99,105,Mick Fitzgerald,Noel Chance
Good,20,7,7,18,0.75,7,G,152,04:01.0,241,26,94,99,Paul Moloney,E McNamara
Good,20,1,8,24,6,7,G,163,04:02.2,242.2,15,110,109,Marcus Foley,Nicky Henderson
Good,20,19,9,27.5,3.5,7,M,141,04:02.9,242.9,8,84,79,Adrian Maguire,A J Martin
Good,20,3,10,31.5,4,5,G,160,04:03.7,243.7,12,102,94,D J Casey,Thomas Cooper
Good,20,4,11,35,3.5,7,G,159,04:04.4,244.4,17,101,89,Charlie Swan,Ronald OLeary
Good,20,16,12,36,1,4,G,146,04:04.6,244.6,34,89,75,Warren Marston,Jim Old
Good,20,9,13,36.75,0.75,5,M,148,04:04.7,244.75,26,90,76,Rodi Greene,Trevor Wall
Good,20,13,14,37.5,0.75,5,G,147,04:04.9,244.9,34,90,75,Leighton Aspell,J T Gifford
Good,20,21,15,38.75,1.25,7,G,140,04:05.2,245.15,21,83,66,Carl Llewellyn,Nigel Twiston-Davies
Good,20,11,16,43.75,5,6,G,148,04:06.2,246.15,21,90,69,B J Crowley,Venetia Williams
Good,20,15,17,54.75,11,5,G,146,04:08.4,248.35,21,89,56,Jimmy McCarthy,Martin Hill
Good,20,5,18,84.75,30,4,G,150,04:14.3,254.35,34,99,–,D Howard,M C Pipe
Good,20,18,PU,-,-,7,G,143,-,-,15,86,91,Timmy Murphy,Richard Price
Good,20,14,PU,-,-,5,G,146,-,-,21,89,–,Robert Thornton,E McNamara
Good,13,5,1,0,0,5,G,153,03:56.8,236.8,2.38,132,151,A P McCoy,M C Pipe
Good,13,3,2,2,2,7,G,162,03:57.2,237.2,29,141,153,Brian Harding,Nicky Richards
Good,13,11,3,6,4,6,G,143,03:58.0,238,17,122,130,D Gallagher,Brian Ellison
Good,13,6,4,6.75,0.75,5,G,153,03:58.2,238.15,6,132,139,Jim Culloty,Henrietta Knight
Good,13,2,5,11.75,5,7,G,163,03:59.2,239.15,15,142,144,Mick Fitzgerald,Philip Hobbs
Good,13,8,6,13,1.25,5,G,149,03:59.4,239.4,10,128,129,Alan Dempsey,Mrs M Reveley
Good,13,4,7,17,4,6,G,156,04:00.2,240.2,26,135,132,Russ Garritty,Tim Easterby
Good,13,7,8,17,0.1,5,G,151,04:00.2,240.22,13,130,128,Paul W Flynn,Philip Hobbs
Good,13,13,9,17.25,0.1,5,G,140,04:00.3,240.27,10,119,116,D J Casey,Noel Meade
Good,13,12,10,18.75,1.5,10,G,141,04:00.5,240.55,34,120,115,Warren Marston,Pam Sly
Good,13,1,11,25.75,7,6,G,168,04:01.9,241.95,17,147,135,Norman Williamson,Venetia Williams
Good,13,10,12,43.75,18,9,G,140,04:05.6,245.55,26,124,94,V T Keane,Brian Ellison
Good,13,9,13,48.75,5,5,H,146,04:06.5,246.55,17,125,90,Timmy Murphy,E J OGrady
Good,13,4,1,0,0,7,G,162,05:11.9,311.9,4.5,133,140,A P McCoy,M C Pipe
Good,13,2,2,20,20,6,G,162,05:15.9,315.9,3,–,117,Paul W Flynn,Philip Hobbs
Good,13,9,3,33,13,5,G,154,05:18.5,318.5,6.5,112,100,Norman Williamson,J T Gifford
Good,13,6,4,33.5,0.5,5,G,154,05:18.6,318.6,26,–,94,Gerry Supple,M C Pipe
Good,13,12,5,36.5,3,6,M,149,05:19.2,319.2,34,89,86,J R Kavanagh,John G Carr
Good,13,8,6,55.5,19,6,G,154,05:23.0,323,67,–,72,Seamus Durack,Dr P Pritchard
Good,13,3,7,57.25,1.75,7,G,162,05:23.4,323.35,21,–,81,Ken Whelan,A J Kennedy
Good,13,10,8,80.25,23,5,G,154,05:27.9,327.95,5.5,–,47,Mick Fitzgerald,Nicky Henderson
Good,13,5,9,110.25,30,5,G,154,05:33.9,333.95,67,–,–,E Husband,Dr P Pritchard
Good,13,7,10,140.25,30,8,G,154,05:40.0,339.95,67,59,–,D J Burchell,Simon Lewis
Good,13,1,F,-,-,5,G,162,-,-,11,–,108,D J Casey,M F Morris
Good,13,13,PU,-,-,6,M,149,-,-,67,69,–,Lee Stephens,H J Manners
Good,13,11,PU,-,-,4,F,149,-,-,67,–,–,Joe Tizzard,Dai Williams
Good,11,4,1,0,0,6,G,153,05:11.1,311.1,13,118,132,Joe Tizzard,Seamus Mullins
Good,11,7,3,1,1,6,G,150,05:11.3,311.3,3.75,115,125,Mick Fitzgerald,Philip Hobbs
Good,11,1,2,5,4,7,G,166,05:12.1,312.1,5,131,145,Brian Harding,Nicky Richards
Good,11,5,4,8.5,3.5,6,G,152,05:12.8,312.8,15,117,123,Norman Williamson,Jonjo ONeill
Good,11,2,5,11.5,3,6,G,154,05:13.4,313.4,10,119,123,Jimmy McCarthy,Jonathan Portman
Good,11,11,6,12.75,1.25,8,G,142,05:13.6,313.65,34,107,108,Sean Fox,M J Gingell
Good,11,10,7,13.25,0.5,8,G,141,05:13.8,313.75,26,109,109,Dominic Elsworth,Sue Smith
Good,11,3,8,17.25,4,5,G,153,05:14.5,314.55,6.5,118,114,A P McCoy,M C Pipe
Good,11,6,9,19,1.75,8,G,148,05:14.9,314.9,15,116,111,Benjamin Hitchcott,R F Johnson Houghton
Good,11,9,10,37,18,5,G,147,05:18.5,318.5,26,112,89,Leighton Aspell,Richard Rowe
Good,11,8,11,67,30,6,G,150,05:24.5,324.5,11,115,–,D J Casey,John Queally
Good,7,2,1,0,0,6,G,163,03:55.6,235.6,3.75,125,156,A P McCoy,M C Pipe
Good,7,7,2,8,8,4,G,145,03:57.2,237.2,3,–,132,Timmy Murphy,Paul Nicholls
Good,7,5,3,24,16,7,G,157,04:00.4,240.4,8,123,124,Jimmy McCarthy,Paul Webber
Good,7,4,4,35,11,7,G,157,04:02.6,242.6,34,–,115,Norman Williamson,G M Lyons
Good,7,6,5,65,30,7,G,157,04:08.6,248.6,51,97,83,Jim Culloty,Robin Dickin
Good,7,1,F,-,-,5,G,163,-,-,21,–,–,D J Casey,P J Rothwell
Good,7,3,PU,-,-,5,G,161,-,-,3.75,–,154,Mick Fitzgerald,Nicky Henderson
Good,8,2,1,0,0,7,G,166,05:09.0,309,6,123,138,Mick Fitzgerald,Hughie Morrison
Good,8,6,2,2,2,7,M,153,05:09.4,309.4,3.5,113,126,Tom Scudamore,Nigel Twiston-Davies
Good,8,8,3,2.5,0.5,6,G,145,05:09.5,309.5,11,102,114,Jimmy McCarthy,Paul Webber
Good,8,4,4,8.5,6,5,G,165,05:10.7,310.7,3.75,122,130,Timmy Murphy,Paul Nicholls
Good,8,1,5,10.25,1.75,9,M,168,05:11.1,311.05,15,125,128,Rodi Greene,Kevin Bishop
Good,8,3,6,15.25,5,5,M,165,05:12.1,312.05,10,122,122,Jamie Goldstein,Nigel Twiston-Davies
Good,8,5,7,29.25,14,9,G,163,05:14.8,314.85,17,120,106,E Husband,Dr P Pritchard
Good,8,7,8,54.25,25,7,G,148,05:19.9,319.85,11,105,83,D J Casey,A L T Moore
Good,15,1,1,0,0,4,G,158,03:57.2,237.2,4.33,–,131,Norman Williamson,E J OGrady
Good,15,13,2,0.1,0.1,6,M,150,03:57.2,237.22,26,–,126,Benjamin Hitchcott,Stewart Pike
Good,15,6,3,18,18,4,G,158,04:00.8,240.8,3.5,–,113,Jim Culloty,Henrietta Knight
Good,15,4,4,20,2,6,G,158,04:01.2,241.2,13,–,111,Brian Harding,J I A Charlton
Good,15,5,5,25,5,5,G,155,04:02.2,242.2,17,–,106,Dominic Elsworth,Sue Smith
Good,15,10,6,27,2,5,G,154,04:02.6,242.6,13,–,100,D Gallagher,R H Alner
Good,15,3,7,28.75,1.75,5,G,158,04:03.0,242.95,6.5,–,104,A P McCoy,Oliver Sherwood
Good,15,2,8,29.25,0.3,4,G,158,04:03.0,243.05,10,–,102,Mick Fitzgerald,Philip Hobbs
Good,15,12,9,39.25,10,5,G,149,04:05.0,245.05,21,–,88,Tony Evans,Nigel Twiston-Davies
Good,15,14,10,39.5,0.3,4,F,149,04:05.1,245.1,34,–,83,Jimmy McCarthy,J R Jenkins
Good,15,11,11,41.5,2,4,G,151,04:05.5,245.5,15,–,86,Tom Scudamore,Paul Webber
Good,15,7,12,45.5,4,6,G,154,04:06.3,246.3,17,–,82,J R Kavanagh,Bob Buckler
Good,15,8,13,52.5,7,4,G,154,04:07.7,247.7,34,–,75,Leighton Aspell,J T Gifford
Good,15,9,14,82.5,30,5,G,149,04:13.7,253.7,34,–,–,L Corcoran,Brendan W Duke
Good,15,15,PU,-,-,4,F,149,-,-,67,–,–,D J Burchell,Simon Lewis
Good,11,3,1,0,0,5,G,154,04:16.4,256.4,2.5,–,117,A P McCoy,Philip Hobbs
