class,age_band,dist_m,going,ran,num,horse,age,sex,lbs,jockey,trainer,or,rpr,pos
Class 4,4yo+,1637,Good,11,7,Dajen (GB),4,C,120,Laura Pike,David Simcock,79,47,9
Class 4,4yo+,1637,Good,11,4,Arrivederla (IRE),4,F,131,James Doyle,Harry Dunlop,83,19,10
Class 4,4yo+,1637,Good,11,9,Riqaab (IRE),5,G,121,Graham Gibbons,Michael Easterby,73,–,11
Class 5,3yo,2103,Good,11,8,Aktia (IRE),3,F,130,Kirsty Milczarek,Luca Cumani,67,78,1
Class 5,3yo,2103,Good,11,11,The Caped Crusader (IRE),3,G,124,Barry McHugh,Ollie Pears,64,72,2
Class 5,3yo,2103,Good,11,7,Shabak Hom (IRE),3,C,130,Eddie Ahern,David Simcock,67,73,3
Class 5,3yo,2103,Good,11,2,Rezwaan (GB),3,G,133,Shane Kelly,Jane Chapple-Hyam,70,72,4
Class 5,3yo,2103,Good,11,3,Sheila Toss (IRE),3,F,133,Pat Dobbs,Richard Hannon Snr,70,64,5
Class 5,3yo,2103,Good,11,5,Lord Raglan (IRE),3,G,131,Phillip Makin,John Weymes,68,57,6
Class 5,3yo,2103,Good,11,4,Baraconti (IRE),3,G,133,Paul Hanagan,Richard Fahey,70,52,7
Class 5,3yo,2103,Good,11,10,So Bazaar (IRE),3,G,128,P J McDonald,Alan Swinbank,65,44,8
Class 5,3yo,2103,Good,11,12,Golden Ratio (IRE),3,F,121,Franny Norton,Jeremy Gask,58,–,9
Class 5,3yo,2103,Good,11,6,Tres Amigos (GB),3,G,131,Adrian Nicholls,David Nicholls,68,–,10
Class 5,3yo,2103,Good,11,1,Inside Track (IRE),3,G,128,Richard Evans,David Evans,70,–,11
Class 5,4yo+,2103,Good To Firm,7,5,High Office (GB),4,G,131,Francisco Da Silva,Richard Fahey,71,82,1
Class 5,4yo+,2103,Good To Firm,7,1,Hawaana (IRE),5,G,132,Kelly Harrison,Gay Kelleway,75,85,2
Class 5,4yo+,2103,Good To Firm,7,4,Baltimore Jack (IRE),6,G,132,Daniel Tudhope,Tim Walford,72,74,3
Class 5,4yo+,2103,Good To Firm,7,3,Snow Dancer (IRE),6,M,133,Paddy Mathers,Tony McWilliams,73,73,4
Class 5,4yo+,2103,Good To Firm,7,7,Arashi (GB),4,G,120,Andrew Heffernan,Lucinda Featherstone,63,62,5
Class 5,4yo+,2103,Good To Firm,7,6,Denton (NZ),6,G,125,Toby Atkinson,Jeremy Gask,70,55,6
Class 5,4yo+,2103,Good To Firm,7,2,Bagutta Sun (GB),4,F,134,Richard Smith,Tom Dascombe,74,52,7
