class,age_band,dist_m,going,ran,num,horse,age,sex,lbs,jockey,trainer,or,rpr,pos
Class 4,3yo+,1006,Good,10,4,Black Grass (GB),4,G,130,Harrison Shaw,Michael Easterby,81,74,6
Class 4,3yo+,1006,Good,10,1,Union Rose (GB),5,G,142,Martin Harley,Ronald Harris,86,74,7
Class 4,3yo+,1006,Good,10,3,Adams Ale (GB),8,G,138,Barry McHugh,Marjorie Fife,82,67,8
Class 4,3yo+,1006,Good,10,5,Sandras Secret (IRE),4,F,137,Franny Norton,Les Eyre,81,59,9
Class 4,3yo+,1006,Good,10,11,Twizzell (GB),3,F,128,P J McDonald,K R Burke,79,46,10
Class 4,2yo,1401,Good,9,6,Leeshaan (IRE),2,C,128,Martin Harley,James Tate,–,76,1
Class 4,2yo,1401,Good,9,9,Stage Magic (IRE),2,C,128,William Buick,Charlie Appleby,–,75,2
Class 4,2yo,1401,Good,9,1,Coastal Drive (GB),2,C,128,Kieran ONeill,Richard Hannon,–,73,3
Class 4,2yo,1401,Good,9,4,Knight In Armour (IRE),2,C,128,Franny Norton,Mark Johnston,–,70,4
Class 4,2yo,1401,Good,9,3,Jaffar (GB),2,G,128,P J McDonald,Scott Dixon,–,66,5
Class 4,2yo,1401,Good,9,2,Ferik (IRE),2,C,128,Andrew Mullen,David Evans,–,58,6
Class 4,2yo,1401,Good,9,5,Kraka (IRE),2,C,128,Richard Kingscote,Tom Dascombe,–,56,7
Class 4,2yo,1401,Good,9,7,Lever Du Soleil (FR),2,C,128,David Allan,Tim Easterby,–,50,8
Class 4,2yo,1401,Good,9,8,Partry Flyer (IRE),2,C,128,Kevin Stott,Oliver Greenall,–,12,9
Class 5,4yo+,2341,Good,10,1,Lugano (GB),4,C,138,Manuel Fernandes,Sir Mark Prescott Bt,75,91,1
Class 5,4yo+,2341,Good,10,3,Suitor (GB),5,G,135,Ben Robinson,Brian Ellison,70,75,2
Class 5,4yo+,2341,Good,10,2,Zenafire (GB),8,G,139,Megan Nicholls,Sarah Hollinshead,71,74,3
Class 5,4yo+,2341,Good,10,9,King Of Paradise (IRE),8,G,117,Josh Quinn,Eric Alston,52,45,4
Class 5,4yo+,2341,Good,10,7,Albert Boy (IRE),4,G,132,Paddy Pilley,Scott Dixon,64,56,5
Class 5,4yo+,2341,Good,10,8,Inspector Norse (GB),6,G,119,Hannah Worrall,Tim Easterby,56,47,6
Class 5,4yo+,2341,Good,10,4,Up Ten Down Two (IRE),8,G,133,Ryan Timby,Michael Easterby,70,59,7
Class 5,4yo+,2341,Good,10,6,Lopito De Vega (IRE),5,G,132,Rowan Scott,David C Griffiths,64,49,8
Class 5,4yo+,2341,Good,10,10,Danzella (GB),5,M,119,Rob J Fitzpatrick,Chris Fairhurst,51,29,9
Class 5,4yo+,2341,Good,10,5,Melabi (IRE),4,G,136,Callum Rodriguez,Richard Ford,68,45,10
Class 5,3yo,2050,Good,11,1,Barwell (IRE),3,G,134,Paul Mulrennan,Michael Dods,71,81,1
Class 5,3yo,2050,Good,11,8,Breanski (GB),3,C,128,Phillip Makin,David OMeara,65,72,2
Class 5,3yo,2050,Good,11,12,Siyahamba (IRE),3,G,120,Connor Beasley,Bryan Smart,57,56,3
Class 5,3yo,2050,Good,11,7,Melodine (GB),3,F,128,Luke Morris,Sir Mark Prescott Bt,65,63,4
Class 5,3yo,2050,Good,11,13,Size Matters (GB),3,G,119,Jason Hart,Mark Walford,56,51,5
Class 5,3yo,2050,Good,11,6,Fleetfoot Jack (IRE),3,G,129,David Nolan,David OMeara,66,60,6
Class 5,3yo,2050,Good,11,5,Tread Lightly (GB),3,G,131,David Allan,Tim Easterby,68,61,7
Class 5,3yo,2050,Good,11,9,Ingleby Mackenzie (GB),3,G,128,Charles Bishop,Mick Channon,65,54,8
Class 5,3yo,2050,Good,11,4,Spirit Of Belle (GB),3,C,132,Andrew Mullen,David Evans,69,50,9
Class 5,3yo,2050,Good,11,2,Showdance Kid (GB),3,G,128,Clifford Lee,K R Burke,70,50,10
Class 5,3yo,2050,Good,11,11,Nigh Or Never (IRE),3,G,122,Richard Kingscote,Tom Dascombe,59,30,11
Class 4,3yo+,1006,Good To Firm,6,5,Mabs Cross (GB),3,F,129,Paul Mulrennan,Michael Dods,82,93,1
Class 4,3yo+,1006,Good To Firm,6,2,Midnight Malibu (IRE),4,F,133,Rachel Richardson,Tim Easterby,83,88,2
Class 4,3yo+,1006,Good To Firm,6,4,Dainty Dandy (IRE),3,F,131,Daniel Muscutt,Paul Cole,84,79,3
Class 4,3yo+,1006,Good To Firm,6,6,Annie Salts (GB),4,F,115,Milly Naseb,Chris Dwyer,69,55,4
Class 4,3yo+,1006,Good To Firm,6,7,Kachess (GB),3,F,120,Rob Hornby,Tom Dascombe,73,53,5
Class 4,3yo+,1006,Good To Firm,6,1,Showdaisy (GB),4,F,140,David Nolan,Keith Dalgleish,87,63,6
Class 4,4yo+,1602,Good To Firm,7,1,Captain Courageous (IRE),4,G,133,Richard Kingscote,Ed Walker,84,93,1
Class 4,4yo+,1602,Good To Firm,7,2,Sante (IRE),4,F,133,Andrea Atzeni,Charles Hills,84,89,2
Class 4,4yo+,1602,Good To Firm,7,4,Mon Beau Visage (IRE),4,G,128,David Nolan,David OMeara,79,80,3
Class 4,4yo+,1602,Good To Firm,7,5,Chosen Character (IRE),9,G,120,Elisha Whittington,Tom Dascombe,78,75,4
Class 4,4yo+,1602,Good To Firm,7,6,Sovereign Bounty (GB),5,G,127,Jack Garritty,Jedd OKeeffe,78,72,5
Class 4,4yo+,1602,Good To Firm,7,3,Royal Shaheen (FR),4,G,129,Paul Mulrennan,Alistair Whillans,80,71,6
Class 4,4yo+,1602,Good To Firm,7,7,Ibazz (GB),4,F,127,George Downing,Ian Williams,78,64,7
Class 4,3yo,1602,Good To Firm,7,4,Rays The Money (IRE),3,G,124,Tristan Price,Michael Bell,78,85,1
Class 4,3yo,1602,Good To Firm,7,2,Mutawakked (IRE),3,G,132,Tom Marquand,Brian Meehan,79,84,2
Class 4,3yo,1602,Good To Firm,7,3,Anif (IRE),3,G,131,Daniel Muscutt,Charles Hills,78,75,3
Class 4,3yo,1602,Good To Firm,7,1,Sidewinder (IRE),3,G,133,Richard Kingscote,Tom Dascombe,80,75,4
Class 4,3yo,1602,Good To Firm,7,6,Jumira Prince (IRE),3,C,127,Andrea Atzeni,Roger Varian,74,68,5
Class 4,3yo,1602,Good To Firm,7,7,Wigan Warrior (GB),3,G,127,Paul Mulrennan,David Brown,74,39,6
Class 4,3yo,1602,Good To Firm,7,5,Jumping Around (IRE),3,F,128,George Downing,Ian Williams,75,29,7
Class 4,2yo,1401,Good To Firm,6,1,Albishr (IRE),2,C,128,Tom Marquand,Richard Hannon,–,75,1
Class 4,2yo,1401,Good To Firm,6,4,Owners Star (GB),2,C,128,David Allan,James Tate,–,74,2
Class 4,2yo,1401,Good To Firm,6,2,Chai Chai (IRE),2,C,128,Rob Hornby,Andrew Balding,–,73,3
Class 4,2yo,1401,Good To Firm,6,3,Dark Acclaim (IRE),2,C,128,Daniel Muscutt,Marco Botti,–,69,4
Class 4,2yo,1401,Good To Firm,6,5,Kings Proctor (IRE),2,C,128,Andrea Atzeni,Mark Johnston,–,67,5
Class 4,2yo,1401,Good To Firm,6,6,Zoffalee (FR),2,C,128,Richard Kingscote,Tom Dascombe,–,58,6
Class 5,3yo+,2050,Good To Firm,6,5,Teodoro (IRE),3,G,128,Richard Kingscote,Tom Dascombe,73,85,1
Class 5,3yo+,2050,Good To Firm,6,2,Thello (GB),5,G,132,Clifford Lee,Jo Hughes,70,70,2
Class 5,3yo+,2050,Good To Firm,6,6,Suspect Package (USA),3,G,128,Daniel Muscutt,James Fanshawe,73,69,3
Class 5,3yo+,2050,Good To Firm,6,4,Omotesando (GB),7,G,126,Megan Nicholls,Oliver Greenall,64,59,4
Class 5,3yo+,2050,Good To Firm,6,7,Cartavio (IRE),3,G,127,Rob Hornby,Andrew Balding,72,58,5
Class 5,3yo+,2050,Good To Firm,6,1,Berlusca (IRE),8,G,140,David Nolan,David OMeara,73,37,6
Class 5,3yo+,1602,Good To Firm,4,3,Najashee (IRE),3,C,128,Richard Kingscote,Owen Burrows,–,78,1
Class 5,3yo+,1602,Good To Firm,4,1,Big Tour (IRE),3,C,128,Tom Marquand,Saeed bin Suroor,–,73,2
Class 5,3yo+,1602,Good To Firm,4,2,Lord Kitten (USA),3,C,128,Franny Norton,David Lanigan,–,66,3
Class 5,3yo+,1602,Good To Firm,4,6,Queen Moon (IRE),3,F,123,Rob Hornby,Andrew Balding,–,37,4
Class 4,2yo,1401,Good To Firm,7,7,Royal Parks (GB),2,F,126,Daniel Tudhope,James Tate,–,82,1
Class 4,2yo,1401,Good To Firm,7,1,Akvavera (GB),2,F,126,Richard Kingscote,Ralph Beckett,–,73,2
Class 4,2yo,1401,Good To Firm,7,4,Falcons Vision (GB),2,F,126,Jamie Spencer,David Simcock,–,68,3
Class 4,2yo,1401,Good To Firm,7,8,Ryedale Encore (GB),2,F,126,David Allan,Tim Easterby,–,62,4
Class 4,2yo,1401,Good To Firm,7,5,Gamesters Icon (GB),2,F,126,Connor Beasley,Bryan Smart,–,62,5
Class 4,2yo,1401,Good To Firm,7,2,Dalawyna (FR),2,F,126,Kevin Stott,Kevin Ryan,–,60,6
Class 4,2yo,1401,Good To Firm,7,3,Fabella Bere (FR),2,F,126,Ben Curtis,K R Burke,–,51,7
Class 4,3yo,1006,Good To Firm,6,5,Stoneyford Lane (IRE),3,G,122,Royston Ffrench,Steph Hollinshead,74,80,1
Class 4,3yo,1006,Good To Firm,6,1,Merry Banter (GB),3,F,126,Connor Murtagh,Paul Midgley,85,87,2
Class 4,3yo,1006,Good To Firm,6,2,Jack Flash (FR),3,G,130,P J McDonald,Les Eyre,82,79,3
Class 4,3yo,1006,Good To Firm,6,3,Rock Of America (USA),3,C,129,Daniel Tudhope,David OMeara,81,74,4
Class 4,3yo,1006,Good To Firm,6,4,Harome (IRE),3,G,128,Tony Hamilton,Roger Fell,80,70,5
Class 4,3yo,1006,Good To Firm,6,6,Foxcatcher (GB),3,F,119,Sam Hitchcott,Clive Cox,71,53,6
Class 4,2yo,1207,Good To Firm,12,8,Staxton (GB),2,C,128,David Allan,Tim Easterby,–,81,1
Class 4,2yo,1207,Good To Firm,12,1,Green Power (GB),2,C,134,Ben Curtis,John Gallagher,–,86,2
Class 4,2yo,1207,Good To Firm,12,2,Green Fortune (GB),2,C,131,Pat Cosgrave,William Haggas,–,79,3
Class 4,2yo,1207,Good To Firm,12,7,Red Force One (GB),2,C,128,Richard Kingscote,Tom Dascombe,–,74,4
Class 4,2yo,1207,Good To Firm,12,12,Wafeer (IRE),2,G,128,Sean Levey,Richard Hannon,–,73,5
Class 4,2yo,1207,Good To Firm,12,11,Vj Day (USA),2,C,128,Jamie Spencer,Kevin Ryan,–,69,6
Class 4,2yo,1207,Good To Firm,12,3,Admiral Spice (IRE),2,C,123,Paddy Pilley,Tom Dascombe,–,59,7
Class 4,2yo,1207,Good To Firm,12,6,Motabassim (IRE),2,C,128,Graham Lee,Brian Meehan,–,57,8
Class 4,2yo,1207,Good To Firm,12,10,The Right Choice (IRE),2,C,128,Paul Hanagan,Richard Fahey,–,55,9
Class 4,2yo,1207,Good To Firm,12,9,Taifbalady (IRE),2,C,128,P J McDonald,Mark Johnston,–,54,10
Class 4,2yo,1207,Good To Firm,12,4,Arty But Poor (GB),2,C,128,Kevin Stott,Oliver Greenall,–,53,11
Class 4,2yo,1207,Good To Firm,12,13,Hic Bibi (GB),2,F,123,Tom Eaves,David Brown,–,36,12
Class 5,3yo+,1602,Good To Firm,6,4,Trilliant (IRE),3,F,132,Pat Cosgrave,Ed Walker,76,88,1
Class 5,3yo+,1602,Good To Firm,6,3,Miss Sheridan (IRE),3,F,129,Nathan Evans,Michael Easterby,76,79,2
Class 5,3yo+,1602,Good To Firm,6,8,Our Greta (IRE),3,F,123,Ben Curtis,Michael Appleby,67,67,3
Class 5,3yo+,1602,Good To Firm,6,1,La Celebs Ville (IRE),4,F,137,Paddy Pilley,Tom Dascombe,77,79,4
Class 5,3yo+,1602,Good To Firm,6,7,Conqueress (IRE),3,F,126,Richard Kingscote,Tom Dascombe,70,68,5
Class 5,3yo+,1602,Good To Firm,6,2,Make On Madam (IRE),5,M,134,P J McDonald,Les Eyre,69,69,6
Class 5,3yo+,1401,Good To Firm,10,8,Groupie (GB),3,F,132,James Sullivan,Tom Tate,75,81,1
Class 5,3yo+,1401,Good To Firm,10,9,Manners Please (GB),3,G,128,Phillip Makin,Ralph Beckett,71,75,2
Class 5,3yo+,1401,Good To Firm,10,5,Captain Revelation (GB),5,G,135,Richard Kingscote,Tom Dascombe,70,76,3
Class 5,3yo+,1401,Good To Firm,10,3,Deansgate (IRE),4,G,135,Joe Doyle,Julie Camacho,70,72,4
Class 5,3yo+,1401,Good To Firm,10,10,Magic Moments (GB),4,F,124,Daniel Tudhope,Alan King,59,59,5
Class 5,3yo+,1401,Good To Firm,10,1,Rock Warbler (IRE),4,G,139,Kevin Stott,Oliver Greenall,74,73,6
Class 5,3yo+,1401,Good To Firm,10,2,Passing Star (GB),6,G,137,George Downing,Daniel Kubler,72,67,7
Class 5,3yo+,1401,Good To Firm,10,11,Redrosezorro (GB),3,G,113,Paddy Mathers,Eric Alston,56,36,8
Class 5,3yo+,1401,Good To Firm,10,6,Baltic Prince (IRE),7,G,130,Paddy Pilley,Tony Carroll,70,41,9
Class 5,3yo+,1401,Good To Firm,10,7,Foresight (FR),4,G,132,Tom Eaves,Kevin Ryan,67,31,10
Class 5,3yo+,1006,Good To Firm,10,7,Foxy Boy (GB),3,G,135,Callum Rodriguez,Michael Dods,70,79,1
Class 5,3yo+,1006,Good To Firm,10,3,Razin Hell (GB),6,G,137,Lewis Edmunds,John Balding,67,74,2
Class 5,3yo+,1006,Good To Firm,10,13,Tonis A Star (GB),5,M,122,Sophie Ralston,Tony Carroll,54,53,3
Class 5,3yo+,1006,Good To Firm,10,11,Eternalist (GB),4,F,129,Sean Mooney,Jim Goldie,61,59,4
Class 5,3yo+,1006,Good To Firm,10,9,Archimedes (IRE),4,G,133,Rowan Scott,David C Griffiths,63,59,5
Class 5,3yo+,1006,Good To Firm,10,1,Muatadel (GB),4,G,138,Ben Sanderson,Roger Fell,70,62,6
Class 5,3yo+,1006,Good To Firm,10,5,Spirit Of Zebedee (IRE),4,G,135,Josh Quinn,John Quinn,65,50,7
Class 5,3yo+,1006,Good To Firm,10,12,Bithynia (IRE),3,F,131,Rob J Fitzpatrick,Christopher Kellett,66,47,8
Class 5,3yo+,1006,Good To Firm,10,4,Emjayem (GB),7,G,131,Megan Ellingworth,John Holt,65,48,9
Class 5,3yo+,1006,Good To Firm,10,10,Mighty Zip (USA),5,G,132,Kevin Lundie,Lisa Williamson,62,43,10
Class 5,2yo,1207,Good To Firm,12,7,Our Man In Havana (GB),2,C,124,Richard Kingscote,Tom Dascombe,69,73,1
Class 5,2yo,1207,Good To Firm,12,6,Jim Rockford (GB),2,G,125,Daniel Tudhope,Ralph Beckett,70,73,2
Class 5,2yo,1207,Good To Firm,12,4,Magnus (IRE),2,C,128,Ben Curtis,Tom Dascombe,73,74,3
Class 5,2yo,1207,Good To Firm,12,1,June Dog (GB),2,C,133,Sean Levey,Richard Hannon,78,78,4
Class 5,2yo,1207,Good To Firm,12,11,Shovel It On (IRE),2,C,118,Franny Norton,David Evans,63,56,5
Class 5,2yo,1207,Good To Firm,12,3,Shobrom (IRE),2,C,128,Phillip Makin,Richard Fahey,73,58,6
Class 5,2yo,1207,Good To Firm,12,13,I Am Dandy (IRE),2,C,112,Nathan Evans,James Ewart,60,35,7
Class 5,2yo,1207,Good To Firm,12,12,Ventura Crest (IRE),2,G,113,Rachel Richardson,Tim Easterby,61,33,8
Class 5,2yo,1207,Good To Firm,12,9,Atalanta Queen (GB),2,F,121,Graham Lee,Brian Meehan,66,37,9
Class 5,2yo,1207,Good To Firm,12,5,New Empire (GB),2,C,127,Jamie Spencer,Peter Chapple-Hyam,72,37,10
Class 5,2yo,1207,Good To Firm,12,10,Thrifty (GB),2,F,119,James Sullivan,Tim Easterby,64,29,11
Class 5,2yo,1207,Good To Firm,12,8,Bodybuilder (GB),2,C,124,Pat Cosgrave,Richard Hannon,69,11,12
Class 3,3yo+,1602,Good To Firm,8,6,Calder Prince (IRE),4,G,131,Richard Kingscote,Tom Dascombe,86,95,1
Class 3,3yo+,1602,Good To Firm,8,8,Areen Heart (FR),3,G,122,Tony Hamilton,Richard Fahey,86,90,2
Class 3,3yo+,1602,Good To Firm,8,5,Midhmaar (GB),4,G,132,Oisin Murphy,Owen Burrows,87,91,3
Class 3,3yo+,1602,Good To Firm,8,2,Lincoln Rocks (GB),4,F,138,Daniel Tudhope,David OMeara,93,89,4
Class 3,3yo+,1602,Good To Firm,8,3,Alnashama (GB),5,G,131,Callum Shepherd,Charles Hills,89,83,5
Class 3,3yo+,1602,Good To Firm,8,1,Cote DAzur (GB),4,C,140,Jack Garritty,Les Eyre,95,83,6
Class 3,3yo+,1602,Good To Firm,8,4,Theodorico (IRE),4,G,134,Dougie Costello,David Loughnane,89,59,7
Class 3,3yo+,1602,Good To Firm,8,7,Accurate (GB),4,G,129,George Downing,Ian Williams,84,49,8
Class 4,3yo,2050,Good To Firm,8,2,Teodoro (IRE),3,G,136,Richard Kingscote,Tom Dascombe,82,93,1
Class 4,3yo,2050,Good To Firm,8,4,Carigrad (IRE),3,C,133,Jack Mitchell,Hugo Palmer,79,88,2
Class 4,3yo,2050,Good To Firm,8,5,Pirate Look (IRE),3,C,133,Robert Tart,Marco Botti,79,81,3
Class 4,3yo,2050,Good To Firm,8,9,Yaarmen (USA),3,G,131,Daniel Tudhope,William Haggas,77,77,4
Class 4,3yo,2050,Good To Firm,8,3,Plead (GB),3,F,133,Oisin Murphy,Archie Watson,79,77,5
Class 4,3yo,2050,Good To Firm,8,10,Lunar Jet (GB),3,G,126,Jack Garritty,John Mackie,72,63,6
Class 4,3yo,2050,Good To Firm,8,8,Je Suis Charlie (GB),3,G,131,Louis Steward,Michael Bell,77,65,7
Class 4,3yo,2050,Good To Firm,8,6,Riviere Argentee (FR),3,F,129,Jordan Vaughan,K R Burke,78,30,8
Class 4,2yo,1401,Good To Firm,7,6,Mildenberger (GB),2,C,128,Franny Norton,Mark Johnston,–,79,1
Class 4,2yo,1401,Good To Firm,7,2,Collateral (IRE),2,C,128,Oisin Murphy,James Tate,–,75,2
Class 4,2yo,1401,Good To Firm,7,3,Delph Crescent (IRE),2,C,128,Tony Hamilton,Richard Fahey,–,68,3
Class 4,2yo,1401,Good To Firm,7,8,Shootingthe Breeze (GB),2,C,128,Richard Kingscote,Tom Dascombe,–,58,4
Class 4,2yo,1401,Good To Firm,7,5,Galactic (IRE),2,C,128,Tom Marquand,Richard Hannon,–,54,5
Class 4,2yo,1401,Good To Firm,7,4,Drover (GB),2,C,128,Dougie Costello,Keith Dalgleish,–,53,6
Class 4,2yo,1401,Good To Firm,7,9,Urban Soul (IRE),2,C,128,Daniel Tudhope,James Bethell,–,51,7
Class 5,3yo+,2050,Good To Firm,10,10,Punkawallah (GB),3,G,126,Richard Kingscote,Tom Dascombe,65,71,1
Class 5,3yo+,2050,Good To Firm,10,8,Kuraka (GB),3,G,124,Jordan Vaughan,K R Burke,66,71,2
Class 5,3yo+,2050,Good To Firm,10,1,Miningrocks (FR),5,G,135,Ger ONeill,Declan Carroll,71,75,3
Class 5,3yo+,2050,Good To Firm,10,11,Sakurajima (IRE),3,G,122,Callum Shepherd,Charles Hills,64,68,4
Class 5,3yo+,2050,Good To Firm,10,7,La Havrese (FR),6,M,127,Josh Doyle,Lynn Siddall,59,62,5
Class 5,3yo+,2050,Good To Firm,10,6,Competition (GB),5,G,128,Adam McNamara,Brian Rothwell,60,51,6
Class 5,3yo+,2050,Good To Firm,10,5,Arithmetic (IRE),4,G,136,Jack Garritty,Ruth Carr,65,54,7
Class 5,3yo+,2050,Good To Firm,10,12,King Of Paradise (IRE),8,G,121,Neil Farley,Eric Alston,50,33,8
Class 5,3yo+,2050,Good To Firm,10,3,Arrowzone (GB),6,G,138,Franny Norton,Kevin Frost,67,50,9
Class 5,3yo+,2050,Good To Firm,10,9,Twistsandturns (IRE),6,G,126,Royston Ffrench,Declan Carroll,55,31,10
Class 5,3yo+,1602,Good To Firm,5,1,Azaly (IRE),3,G,131,Richard Kingscote,Owen Burrows,74,77,1
Class 5,3yo+,1602,Good To Firm,5,4,Reverend Jacobs (GB),3,G,131,Daniel Tudhope,William Haggas,–,76,2
Class 5,3yo+,1602,Good To Firm,5,6,Multicultural (IRE),3,F,126,Oisin Murphy,James Tate,–,70,3
Class 5,3yo+,1602,Good To Firm,5,2,Dream Ballad (IRE),3,C,131,Jack Mitchell,Hugo Palmer,–,65,4
Class 5,3yo+,1602,Good To Firm,5,3,Grey Diamond (GB),3,G,131,Franny Norton,Mark Johnston,–,62,5
Class 5,3yo,1006,Good To Firm,9,4,Dundunah (USA),3,F,130,Daniel Tudhope,David OMeara,67,76,1
Class 5,3yo,1006,Good To Firm,9,1,The Nazca Lines (IRE),3,G,135,Richard Kingscote,John Quinn,72,74,2
Class 5,3yo,1006,Good To Firm,9,10,Poets Time (GB),3,F,114,Franny Norton,Tim Easterby,51,48,3
Class 5,3yo,1006,Good To Firm,9,2,Peachey Carnehan (GB),3,G,133,Robert Tart,Michael Mullineaux,70,67,4
Class 5,3yo,1006,Good To Firm,9,5,Foxy Boy (GB),3,G,122,Callum Rodriguez,Michael Dods,64,60,5
Class 5,3yo,1006,Good To Firm,9,7,Glyder (GB),3,F,125,Royston Ffrench,John Holt,62,58,6
Class 5,3yo,1006,Good To Firm,9,8,Chickenfortea (IRE),3,G,125,Neil Farley,Eric Alston,62,40,7
Class 5,3yo,1006,Good To Firm,9,9,Lambrini Legacy (GB),3,F,122,Tom Marquand,Lisa Williamson,59,33,8
Class 5,3yo,1006,Good To Firm,9,3,Who Told Jo Jo (IRE),3,G,130,Oisin Murphy,Joseph Tuite,67,40,9
Class 2,4yo+,2373,Good To Firm,16,1,Dylan Mouth (IRE),6,H,136,Harry Bentley,Marco Botti,104,114,1
Class 2,4yo+,2373,Good To Firm,16,2,Soldier In Action (FR),4,G,136,Richard Kingscote,Mark Johnston,104,110,2
Class 2,4yo+,2373,Good To Firm,16,12,Shraaoh (IRE),4,G,125,Andrea Atzeni,Sir Michael Stoute,93,97,3
Class 2,4yo+,2373,Good To Firm,16,10,Blakeney Point (GB),4,G,124,Kieran Shoemark,Roger Charlton,95,99,4
Class 2,4yo+,2373,Good To Firm,16,5,Tawdeea (GB),5,G,132,Daniel Tudhope,David OMeara,100,104,5
Class 2,4yo+,2373,Good To Firm,16,4,Fabricate (GB),5,G,127,Cameron Noble,Michael Bell,102,105,6
Class 2,4yo+,2373,Good To Firm,16,11,Kapstadt (FR),7,G,126,Fran Berry,Ian Williams,94,96,7
Class 2,4yo+,2373,Good To Firm,16,8,Big Country (IRE),4,G,130,Josephine Gordon,Michael Appleby,98,100,8
Class 2,4yo+,2373,Good To Firm,16,18,Euchen Glen (GB),4,G,121,James Sullivan,Jim Goldie,89,90,9
Class 2,4yo+,2373,Good To Firm,16,6,Carntop (GB),4,G,132,Pat Dobbs,Ralph Beckett,100,100,10
Class 2,4yo+,2373,Good To Firm,16,3,Baydar (GB),4,C,130,David Egan,Hugo Palmer,103,102,11
Class 2,4yo+,2373,Good To Firm,16,16,Moonmeister (IRE),6,G,122,Jamie Spencer,A J Martin,90,88,12
Class 2,4yo+,2373,Good To Firm,16,17,Brorocco (GB),4,G,122,David Probert,Andrew Balding,90,86,13
Class 2,4yo+,2373,Good To Firm,16,15,Toulson (GB),4,G,122,Charles Bishop,Eve Johnson Houghton,90,80,14
Class 2,4yo+,2373,Good To Firm,16,13,Cosmeapolitan (GB),4,G,124,Dougie Costello,Alan King,92,74,15
Class 2,4yo+,2373,Good To Firm,16,14,Farquhar (IRE),6,G,123,Robert Tart,Michael Appleby,90,67,16
Class 1,3yo+,2373,Good To Firm,7,5,The Black Princess (FR),4,F,131,Robert Tart,John Gosden,107,108,1
Class 1,3yo+,2373,Good To Firm,7,1,Abingdon (USA),4,F,131,Richard Kingscote,Sir Michael Stoute,110,107,2
Class 1,3yo+,2373,Good To Firm,7,2,Ajman Princess (IRE),4,F,131,Andrea Atzeni,Roger Varian,107,106,3
Class 1,3yo+,2373,Good To Firm,7,7,Hertford Dancer (GB),3,F,119,Harry Bentley,John Gosden,105,104,4
Class 1,3yo+,2373,Good To Firm,7,8,Rich Legacy (IRE),3,F,119,David Probert,Ralph Beckett,103,103,5
Class 1,3yo+,2373,Good To Firm,7,4,Lucy The Painter (IRE),5,M,131,Daniel Tudhope,Ed de Giles,93,102,6
Class 1,3yo+,2373,Good To Firm,7,3,Dubka (GB),4,F,131,Pat Dobbs,Sir Michael Stoute,102,97,7
Class 2,3yo,2816,Good To Firm,10,3,Zenon (IRE),3,C,128,Robert Tart,John Gosden,87,98,1
Class 2,3yo,2816,Good To Firm,10,9,Dominating (GER),3,G,116,Franny Norton,Mark Johnston,75,83,2
Class 2,3yo,2816,Good To Firm,10,8,Look My Way (GB),3,G,117,Josephine Gordon,Andrew Balding,76,83,3
Class 2,3yo,2816,Good To Firm,10,5,Humble Hero (IRE),3,C,125,Pat Cosgrave,William Haggas,84,90,4
Class 2,3yo,2816,Good To Firm,10,7,Mistress Quickly (IRE),3,F,123,Pat Dobbs,Ralph Beckett,82,87,5
Class 2,3yo,2816,Good To Firm,10,10,Cray (IRE),3,C,115,James Sullivan,James Bethell,74,78,6
Class 2,3yo,2816,Good To Firm,10,2,Never Surrender (IRE),3,C,129,Jamie Spencer,Charles Hills,88,91,7
Class 2,3yo,2816,Good To Firm,10,6,Cribbs Causeway (IRE),3,F,120,Kieran Shoemark,Roger Charlton,82,84,8
Class 2,3yo,2816,Good To Firm,10,4,Jukebox Jive (FR),3,G,122,David Egan,Anthony Honeyball,86,87,9
Class 2,3yo,2816,Good To Firm,10,1,Mister Manduro (FR),3,C,133,Richard Kingscote,Mark Johnston,92,92,10
Class 3,3yo,2103,Good To Firm,5,3,Across Dubai (GB),3,C,127,Pat Cosgrave,William Haggas,85,99,1
Class 3,3yo,2103,Good To Firm,5,6,Carigrad (IRE),3,C,121,Josephine Gordon,Hugo Palmer,79,88,2
Class 3,3yo,2103,Good To Firm,5,5,Baashiq (IRE),3,C,125,Andrea Atzeni,Roger Varian,83,88,3
Class 3,3yo,2103,Good To Firm,5,4,Keep Winning (IRE),3,G,126,Jamie Spencer,David Simcock,84,87,4
Class 3,3yo,2103,Good To Firm,5,2,Hidden Steps (GB),3,F,129,David Probert,Andrew Balding,87,78,5
Class 2,3yo+,1442,Good To Firm,8,5,Excellent Sounds (GB),4,F,122,Charlie Bennett,Hughie Morrison,80,88,1
Class 2,3yo+,1442,Good To Firm,8,2,Aljuljalah (USA),4,F,140,Andrea Atzeni,Roger Varian,95,102,2
Class 2,3yo+,1442,Good To Firm,8,3,Bint Arcano (FR),4,F,129,Joe Doyle,Julie Camacho,84,88,3
Class 2,3yo+,1442,Good To Firm,8,8,Moonwise (IRE),3,F,115,Jimmy Quinn,Ralph Beckett,78,79,4
Class 2,3yo+,1442,Good To Firm,8,9,Highland Pass (GB),3,F,114,Josephine Gordon,Andrew Balding,77,73,5
Class 2,3yo+,1442,Good To Firm,8,6,Queensbrydge (GB),3,F,123,Richard Kingscote,Robyn Brisland,86,78,6
Class 2,3yo+,1442,Good To Firm,8,7,Brogan (GB),3,F,118,David Probert,Tom Dascombe,81,70,7
